Configuration,Accuracy,Precision,Recall,F1 Score
"config=4,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.877830437,0.879068357,0.870164222,0.873660521
"config=6,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.80952381,0.816666667,0.774038462,0.785714286
"config=8,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.80952381,0.816666667,0.774038462,0.785714286
"config=1,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.761904762,0.75,0.759615385,0.752941176
"config=3,  shuffle=False, pca=False, scal=False, minmax=True, lasso=False",0.761904762,0.861111111,0.6875,0.692082111
"config=7,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.761904762,0.75,0.759615385,0.752941176
"config=8,  shuffle=False, pca=True, scal=False, minmax=True, lasso=True",0.761904762,0.861111111,0.6875,0.692082111
"config=11,  shuffle=False, pca=False, scal=False, minmax=True, lasso=True",0.761904762,0.768181818,0.783653846,0.7597254
"config=12,  shuffle=False, pca=False, scal=False, minmax=True, lasso=False",0.761904762,0.861111111,0.6875,0.692082111
"config=4,  shuffle=False, pca=True, scal=False, minmax=False, lasso=False",0.75616151,0.815329627,0.791105121,0.754723839
"config=1,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.75,0.85,0.7,0.697478992
"config=2,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.75,0.85,0.7,0.697478992
"config=10,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.75,0.742857143,0.742857143,0.742857143
"config=4,  shuffle=True, pca=True, scal=False, minmax=False, lasso=False",0.723538705,0.754700855,0.746517423,0.7230715
"config=1,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.714285714,0.697115385,0.697115385,0.697115385
"config=1,  shuffle=False, pca=False, scal=False, minmax=True, lasso=True",0.714285714,0.697115385,0.697115385,0.697115385
"config=2,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.714285714,0.697115385,0.697115385,0.697115385
"config=2,  shuffle=False, pca=False, scal=False, minmax=True, lasso=True",0.714285714,0.697115385,0.697115385,0.697115385
"config=3,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.714285714,0.697115385,0.697115385,0.697115385
"config=5,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.714285714,0.697115385,0.697115385,0.697115385
"config=6,  shuffle=False, pca=True, scal=False, minmax=True, lasso=True",0.714285714,0.842105263,0.625,0.60625
"config=6,  shuffle=False, pca=True, scal=False, minmax=True, lasso=False",0.714285714,0.842105263,0.625,0.60625
"config=8,  shuffle=False, pca=True, scal=False, minmax=True, lasso=False",0.714285714,0.842105263,0.625,0.60625
"config=9,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.714285714,0.727941176,0.649038462,0.65
"config=9,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.714285714,0.727941176,0.649038462,0.65
"config=10,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.714285714,0.697115385,0.697115385,0.697115385
"config=11,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.714285714,0.727941176,0.649038462,0.65
"config=11,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.714285714,0.7,0.673076923,0.678571429
"config=12,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.714285714,0.727941176,0.649038462,0.65
"config=1,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.708333333,0.742105263,0.664285714,0.660606061
"config=1,  shuffle=True, pca=False, scal=False, minmax=False, lasso=False",0.708333333,0.833333333,0.65,0.630769231
