Configuration,Accuracy,Precision,Recall,F1 Score
"config=12,  shuffle=False, pca=True, scal=False, minmax=False, lasso=False",0.666666667,0.825,0.5625,0.505050505
"config=12,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.666666667,0.818181818,0.6,0.555555556
"config=1,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.625,0.804347826,0.55,0.469287469
"config=1,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.625,0.804347826,0.55,0.469287469
"config=2,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.625,0.804347826,0.55,0.469287469
"config=2,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.625,0.804347826,0.55,0.469287469
"config=3,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.625,0.611111111,0.607142857,0.607985481
"config=3,  shuffle=True, pca=False, scal=False, minmax=True, lasso=False",0.625,0.615789474,0.578571429,0.563636364
"config=6,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.625,0.804347826,0.55,0.469287469
"config=6,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.625,0.804347826,0.55,0.469287469
"config=6,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.625,0.804347826,0.55,0.469287469
"config=6,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.625,0.804347826,0.55,0.469287469
"config=8,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.625,0.804347826,0.55,0.469287469
"config=8,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.625,0.804347826,0.55,0.469287469
"config=8,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.625,0.804347826,0.55,0.469287469
"config=8,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.625,0.804347826,0.55,0.469287469
"config=12,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.625,0.611111111,0.607142857,0.607985481
"config=12,  shuffle=True, pca=False, scal=False, minmax=True, lasso=False",0.625,0.615789474,0.578571429,0.563636364
"config=1,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.619047619,0.80952381,0.5,0.382352941
"config=1,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=1,  shuffle=False, pca=True, scal=False, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=1,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=1,  shuffle=False, pca=False, scal=False, minmax=True, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=2,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.619047619,0.80952381,0.5,0.382352941
"config=2,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=2,  shuffle=False, pca=True, scal=False, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=2,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=2,  shuffle=False, pca=False, scal=False, minmax=True, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=3,  shuffle=False, pca=True, scal=False, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=3,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=3,  shuffle=False, pca=False, scal=False, minmax=True, lasso=False",0.619047619,0.583333333,0.572115385,0.571428571
"config=3,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=5,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=5,  shuffle=False, pca=False, scal=False, minmax=True, lasso=True",0.619047619,0.583333333,0.572115385,0.571428571
"config=5,  shuffle=False, pca=False, scal=False, minmax=True, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=5,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=6,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=6,  shuffle=False, pca=True, scal=False, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=6,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.619047619,0.80952381,0.5,0.382352941
"config=6,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=6,  shuffle=False, pca=False, scal=False, minmax=True, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=7,  shuffle=False, pca=True, scal=False, minmax=True, lasso=True",0.619047619,0.565789474,0.524038462,0.475
"config=7,  shuffle=False, pca=True, scal=False, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=7,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=8,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=8,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.619047619,0.80952381,0.5,0.382352941
"config=8,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=8,  shuffle=False, pca=False, scal=False, minmax=True, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=8,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=9,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=9,  shuffle=False, pca=True, scal=False, minmax=True, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=9,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=9,  shuffle=False, pca=False, scal=False, minmax=True, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=10,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.619047619,0.565789474,0.524038462,0.475
"config=10,  shuffle=False, pca=True, scal=False, minmax=True, lasso=True",0.619047619,0.565789474,0.524038462,0.475
"config=10,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=10,  shuffle=False, pca=False, scal=False, minmax=True, lasso=True",0.619047619,0.583333333,0.572115385,0.571428571
"config=10,  shuffle=False, pca=False, scal=False, minmax=True, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=10,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=11,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.619047619,0.80952381,0.5,0.382352941
"config=11,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=11,  shuffle=False, pca=False, scal=False, minmax=True, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=11,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=12,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.619047619,0.80952381,0.5,0.382352941
"config=12,  shuffle=False, pca=False, scal=False, minmax=True, lasso=False",0.619047619,0.583333333,0.572115385,0.571428571
"config=4,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.583639224,0.791819612,0.5,0.368543046
"config=4,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.583639224,0.791819612,0.5,0.368543046
"config=4,  shuffle=False, pca=False, scal=False, minmax=True, lasso=False",0.583639224,0.791819612,0.5,0.368543046
"config=1,  shuffle=True, pca=True, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=1,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.583333333,0.545454545,0.514285714,0.444444444
"config=1,  shuffle=True, pca=True, scal=False, minmax=True, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=1,  shuffle=True, pca=False, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=1,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.583333333,0.545454545,0.514285714,0.444444444
"config=1,  shuffle=True, pca=False, scal=False, minmax=True, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=2,  shuffle=True, pca=True, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=2,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.583333333,0.545454545,0.514285714,0.444444444
"config=2,  shuffle=True, pca=True, scal=False, minmax=True, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=2,  shuffle=True, pca=False, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=2,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.583333333,0.545454545,0.514285714,0.444444444
"config=2,  shuffle=True, pca=False, scal=False, minmax=True, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=3,  shuffle=True, pca=True, scal=False, minmax=True, lasso=False",0.583333333,0.545454545,0.514285714,0.444444444
