Configuration,Accuracy,Precision,Recall,F1 Score
"config=1,  shuffle=False, pca=False, scal=False, minmax=True, lasso=True",0.80952381,0.798076923,0.798076923,0.798076923
"config=2,  shuffle=False, pca=False, scal=False, minmax=True, lasso=True",0.80952381,0.798076923,0.798076923,0.798076923
"config=5,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.791666667,0.81092437,0.764285714,0.772296015
"config=5,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.791666667,0.81092437,0.764285714,0.772296015
"config=4,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.775144813,0.805934978,0.798180754,0.774889127
"config=4,  shuffle=False, pca=False, scal=False, minmax=True, lasso=True",0.768746723,0.776051121,0.782574724,0.768207244
"config=1,  shuffle=False, pca=True, scal=False, minmax=True, lasso=False",0.761904762,0.861111111,0.6875,0.692082111
"config=2,  shuffle=False, pca=True, scal=False, minmax=True, lasso=False",0.761904762,0.861111111,0.6875,0.692082111
"config=3,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.761904762,0.861111111,0.6875,0.692082111
"config=5,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.761904762,0.75,0.735576923,0.740740741
"config=6,  shuffle=False, pca=True, scal=False, minmax=True, lasso=False",0.761904762,0.861111111,0.6875,0.692082111
"config=6,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.761904762,0.775,0.711538462,0.721485411
"config=8,  shuffle=False, pca=True, scal=False, minmax=True, lasso=False",0.761904762,0.861111111,0.6875,0.692082111
"config=8,  shuffle=False, pca=True, scal=False, minmax=False, lasso=False",0.761904762,0.861111111,0.6875,0.692082111
"config=8,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.761904762,0.775,0.711538462,0.721485411
"config=9,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.761904762,0.75,0.735576923,0.740740741
"config=9,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.761904762,0.75,0.735576923,0.740740741
"config=10,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.761904762,0.75,0.735576923,0.740740741
"config=11,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.761904762,0.861111111,0.6875,0.692082111
"config=11,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.761904762,0.75,0.735576923,0.740740741
"config=11,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.761904762,0.75,0.735576923,0.740740741
"config=11,  shuffle=False, pca=False, scal=False, minmax=True, lasso=True",0.761904762,0.768181818,0.783653846,0.7597254
"config=12,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.761904762,0.861111111,0.6875,0.692082111
"config=1,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.75,0.85,0.7,0.697478992
"config=2,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.75,0.85,0.7,0.697478992
"config=3,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.75,0.85,0.7,0.697478992
"config=7,  shuffle=True, pca=True, scal=False, minmax=True, lasso=False",0.75,0.75,0.757142857,0.748251748
"config=9,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.75,0.85,0.7,0.697478992
"config=9,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.75,0.85,0.7,0.697478992
"config=12,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.75,0.85,0.7,0.697478992
"config=12,  shuffle=True, pca=True, scal=False, minmax=False, lasso=False",0.75,0.85,0.7,0.697478992
"config=4,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.726171669,0.777445957,0.755598336,0.724287125
"config=1,  shuffle=False, pca=True, scal=False, minmax=True, lasso=True",0.714285714,0.842105263,0.625,0.60625
"config=2,  shuffle=False, pca=True, scal=False, minmax=True, lasso=True",0.714285714,0.842105263,0.625,0.60625
"config=3,  shuffle=False, pca=True, scal=False, minmax=True, lasso=False",0.714285714,0.727941176,0.649038462,0.65
"config=5,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.714285714,0.727941176,0.649038462,0.65
"config=5,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.714285714,0.842105263,0.625,0.60625
"config=5,  shuffle=False, pca=True, scal=False, minmax=False, lasso=False",0.714285714,0.842105263,0.625,0.60625
"config=5,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.714285714,0.697115385,0.697115385,0.697115385
"config=6,  shuffle=False, pca=True, scal=False, minmax=True, lasso=True",0.714285714,0.842105263,0.625,0.60625
"config=7,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.714285714,0.727941176,0.649038462,0.65
"config=7,  shuffle=False, pca=True, scal=False, minmax=True, lasso=False",0.714285714,0.727941176,0.649038462,0.65
"config=8,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.714285714,0.842105263,0.625,0.60625
"config=8,  shuffle=False, pca=True, scal=False, minmax=True, lasso=True",0.714285714,0.842105263,0.625,0.60625
"config=9,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.714285714,0.842105263,0.625,0.60625
"config=9,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.714285714,0.842105263,0.625,0.60625
"config=10,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.714285714,0.727941176,0.649038462,0.65
"config=10,  shuffle=False, pca=True, scal=False, minmax=False, lasso=False",0.714285714,0.842105263,0.625,0.60625
"config=10,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.714285714,0.697115385,0.697115385,0.697115385
"config=11,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.714285714,0.842105263,0.625,0.60625
"config=11,  shuffle=False, pca=True, scal=False, minmax=True, lasso=True",0.714285714,0.842105263,0.625,0.60625
"config=11,  shuffle=False, pca=True, scal=False, minmax=False, lasso=False",0.714285714,0.842105263,0.625,0.60625
"config=12,  shuffle=False, pca=True, scal=False, minmax=True, lasso=False",0.714285714,0.727941176,0.649038462,0.65
"config=12,  shuffle=False, pca=True, scal=False, minmax=False, lasso=False",0.714285714,0.842105263,0.625,0.60625
"config=12,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.714285714,0.727941176,0.649038462,0.65
"config=3,  shuffle=True, pca=True, scal=True, minmax=False, lasso=False",0.708333333,0.7,0.692857143,0.695099819
"config=7,  shuffle=True, pca=True, scal=True, minmax=False, lasso=False",0.708333333,0.702797203,0.707142857,0.703703704
"config=9,  shuffle=True, pca=True, scal=True, minmax=False, lasso=False",0.708333333,0.833333333,0.65,0.630769231
"config=9,  shuffle=True, pca=True, scal=False, minmax=True, lasso=False",0.708333333,0.833333333,0.65,0.630769231
"config=9,  shuffle=True, pca=False, scal=True, minmax=False, lasso=False",0.708333333,0.833333333,0.65,0.630769231
"config=9,  shuffle=True, pca=False, scal=False, minmax=True, lasso=False",0.708333333,0.833333333,0.65,0.630769231
"config=11,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.708333333,0.742105263,0.664285714,0.660606061
"config=11,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.708333333,0.742105263,0.664285714,0.660606061
"config=11,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.708333333,0.742105263,0.664285714,0.660606061
"config=12,  shuffle=True, pca=True, scal=True, minmax=False, lasso=False",0.708333333,0.7,0.692857143,0.695099819
"config=4,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.686942842,0.754681237,0.724766952,0.683461188
"config=1,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.666666667,0.666666667,0.586538462,0.568914956
"config=1,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.666666667,0.825,0.5625,0.505050505
"config=1,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.666666667,0.666666667,0.628571429,0.625
"config=1,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.666666667,0.642857143,0.634615385,0.637037037
"config=1,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.666666667,0.666666667,0.628571429,0.625
"config=2,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.666666667,0.666666667,0.586538462,0.568914956
"config=2,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.666666667,0.666666667,0.628571429,0.625
"config=2,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.666666667,0.642857143,0.634615385,0.637037037
"config=2,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.666666667,0.666666667,0.628571429,0.625
"config=3,  shuffle=True, pca=True, scal=False, minmax=True, lasso=False",0.666666667,0.666666667,0.671428571,0.664335664
"config=3,  shuffle=True, pca=True, scal=False, minmax=False, lasso=False",0.666666667,0.685714286,0.685714286,0.666666667
"config=3,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.666666667,0.64375,0.610576923,0.610079576
"config=3,  shuffle=True, pca=False, scal=False, minmax=False, lasso=False",0.666666667,0.71875,0.7,0.664335664
"config=5,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.666666667,0.65625,0.642857143,0.644444444
"config=5,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.666666667,0.64375,0.610576923,0.610079576
"config=6,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.666666667,0.825,0.5625,0.505050505
"config=6,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.666666667,0.666666667,0.628571429,0.625
"config=6,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.666666667,0.666666667,0.628571429,0.625
"config=7,  shuffle=False, pca=True, scal=False, minmax=True, lasso=True",0.666666667,0.666666667,0.586538462,0.568914956
"config=8,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.666666667,0.666666667,0.628571429,0.625
"config=8,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.666666667,0.666666667,0.628571429,0.625
"config=10,  shuffle=False, pca=True, scal=True, minmax=False, lasso=False",0.666666667,0.825,0.5625,0.505050505
"config=10,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.666666667,0.64375,0.610576923,0.610079576
"config=11,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.666666667,0.64375,0.610576923,0.610079576
"config=12,  shuffle=True, pca=True, scal=False, minmax=True, lasso=False",0.666666667,0.666666667,0.671428571,0.664335664
"config=12,  shuffle=True, pca=False, scal=False, minmax=False, lasso=False",0.666666667,0.818181818,0.6,0.555555556
"config=4,  shuffle=False, pca=True, scal=False, minmax=True, lasso=True",0.641845831,0.73144977,0.68613263,0.633604821
"config=1,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.625,0.615789474,0.578571429,0.563636364
